First Name,Last Name,Draft Year,Years of Service
Carmelo,Anthony,2003,16
Desmond,Ferguson,0,1
Timofey,Mozgov,2008,7
James,Thomas,2004,2
Bam,Adebayo,2017,3
Chuck,Cooper,0,6
Maceo,Baston,1998,4
Nelson,Bobb,0,4
Mel,Peterson,0,1
Hank,DeZonie,0,1
Brandon,Goodwin,2018,2
Bob,Davies,0,7
Furkan,Korkmaz,2016,3
Robert,Swift,2004,4
Mengke,Bateer,0,3
Kenny,Sailors,0,5
Justise,Winslow,2015,4
John,Williamson,0,5
Jim,Rowinski,0,2
Jon,Brockman,2009,3
Rod,Higgins,0,13
Jack,Tingle,0,2
Tom,Callahan,0,1
Stacey,Augmon,1991,15
Danilo,Gallinari,2008,10
Greg,Stiemsma,2008,4
Blake,Griffin,2009,9
Tom,Sluby,0,1
Chris,Corchiani,0,3
Frank,Kaminsky,2015,4
Edgar,Jones,0,6
Johnathan,Williams,2018,2
Jesse,Branson,0,1
Ronald,Martin,0,1
Stan,Patrick,0,1
Mario,Hezonja,2015,4
Alec,Burks,2011,8
Isaiah,Thomas,2011,8
Max,Zaslofsky,0,10
Jrue,Holiday,2009,10
Bob,Royer,0,1
Mario,Elie,1985,11
Connie,Hawkins,0,7
Greg,Bunch,0,1
Cody,Martin,2019,1
Wyndol,Gray,0,2
Andre,Ingram,2007,2
Jerome,Moiso,2000,5
Jay,Taylor,0,1
Herm,Fuetsch,0,1
Avery,Bradley,2010,9
Svi,Mykhailiuk,2018,2
Zach,Lofton,2018,1
Antonio,Lang,1994,6
Derrick,Williams,2011,6
Stephen,Curry,2009,10
Bob,Allen,0,1
Marcus,Fizer,2000,6
Anthony,Jones,0,3
Kevin,Henderson,0,2
Jim,Zoet,0,1
Walt,Wesley,0,10
Bill,Chamberlain,0,1
Alex,Scales,0,0
Nicolas,Brussino,2015,2
Milt,Palacio,0,7
Rashad,McCants,2005,4
DeJuan,Blair,2009,6
Bimbo,Coles,1990,14
Matisse,Thybulle,2019,1
Phil,Walker,0,1
Michael,Jordan,1984,15
Charlie,Parsley,0,1
Chad,Kinch,0,1
Sim,Bhullar,2014,0
Greivis,Vasquez,2010,6
Tony,Price,0,1
Jerome,Anderson,0,2
Talen,Horton-Tucker,2019,1
Xavier,Henry,2010,5
Pete,Lalich,0,1
Jared,Dudley,2007,12
Jim,Loscutoff,0,9
DeVaughn,Akoon-Purcell,2016,1
Sekou,Doumbouya,2019,1
Slavko,Vranes,2003,0
Coty,Clarke,2014,0
Tharon,Mayes,0,1
Jerome,James,1998,9
Rick,Weitzman,0,1
Acie,Earl,1993,4
Amal,McCaskill,1996,4
Jason,Collier,2000,5
Larry,Demic,0,3
Rock,Lee,0,1
Mikal,Bridges,2018,2
John,Chaney,0,1
Walter,McCarty,1996,10
Reggie,Theus,0,13
John,Schweitz,0,2
Ratko,Varda,0,1
Truck,Robinson,0,11
Michael,Davis,0,1
Ron,Sobie,0,4
Zaza,Pachulia,2003,15
Nate,Johnston,0,1
John,Kuester,0,3
Trey,Johnson,2007,3
Tom,King,0,1
Chris,Garner,0,2
Ron,Carter,0,2
Etdrick,Bohannon,0,4
Vincent,Edwards,2018,1
Luis,Scola,2002,9
Jim,Baechtold,0,5
George,Patterson,0,1
Dominic,McGuire,2007,6
Gary,Clark,2018,2
AJ,Hammons,2016,1
Cole,Aldrich,2010,7
Doug,Collins,0,8
Shaquille,Harrison,2016,3
Walt,Lautenbach,0,1
Dan,Langhi,2000,4
Donte,Grantham,2018,1
Blue,Edwards,1989,10
Bob,Warlick,0,4
Vlatko,Cancar,2017,1
JJ,Hickson,2008,7
Alex,Stivrins,0,2
Tony,Dawson,0,2
Gene,Gillette,0,1
Rondae,Hollis-Jefferson,2015,4
Luol,Deng,2004,14
Marcin,Gortat,2005,11
Tracy,Moore,0,5
Dick,Duckett,0,1
Fernando,Martin,0,1
Carlton,McKinney,0,2
Sam,Bowie,0,10
Troy,Murphy,2001,12
Alex,Abrines,2013,3
William,Kennedy,0,1
Rodney,Buford,1999,5
Mark,Madsen,2000,9
Ralph,Jackson,0,1
Tony,Zeno,0,1
DeAndre,Liggins,2011,5
Tarence,Kinsey,2006,3
Michael,Jackson,0,3
Chris,Porter,2000,1
Dan,Gadzuric,2002,10
Tom,Gugliotta,1992,13
Garret,Siler,2009,1
Cedric,Henderson,1997,5
Maalik,Wayns,2012,2
Duane,Klueh,0,2
Rollen,Hans,0,2
Daryl,Macon,2018,2
Patrick,Ewing,2008,1
George,Karl,0,2
Marial,Shayok,2019,1
Gary,Garland,0,1
Marques,Johnson,0,11
Mike,Harris,2005,4
Johnny,High,0,4
Travis,Knight,1996,7
Malik,Hairston,2008,2
Bob,Tough,0,2
James,Wilkes,0,3
Keita,Bates-Diop,2018,2
Andreas,Glyniadakis,2003,1
Oshae,Brissett,2019,1
Chad,Gallagher,0,1
Charles,Smith,1988,9
John,Salley,1986,11
